game_id,season,week_label,away_team,home_team,away_score,home_score
2024_001,2024,ScheduleAwayHomeNotesStatusLinksCarleton25Guelph38Final*ConferenceBox ScoreQueen's21Windsor25Final*ConferenceBox ScoreLaurier31McMaster14Final*ConferenceBox Score,Carleton,Guelph,25,38
2024_002,2024,ScheduleAwayHomeNotesStatusLinksCarleton25Guelph38Final*ConferenceBox ScoreQueen's21Windsor25Final*ConferenceBox ScoreLaurier31McMaster14Final*ConferenceBox Score,Queen's,Windsor,21,25
2024_003,2024,ScheduleAwayHomeNotesStatusLinksCarleton25Guelph38Final*ConferenceBox ScoreQueen's21Windsor25Final*ConferenceBox ScoreLaurier31McMaster14Final*ConferenceBox Score,Laurier,McMaster,31,14
2024_004,2024,ScheduleAwayHomeNotesStatusLinksWestern38Ottawa11TD Place / Place TDFinal*ConferenceVideoRecapToronto31Waterloo29Final*ConferenceVideoRecap,Western,Ottawa,38,11
2024_005,2024,ScheduleAwayHomeNotesStatusLinksWestern38Ottawa11TD Place / Place TDFinal*ConferenceVideoRecapToronto31Waterloo29Final*ConferenceVideoRecap,Toronto,Waterloo,31,29
2024_006,2024,ScheduleAwayHomeNotesStatusLinksOttawa27York4Final*ConferenceVideoBox ScoreRecapWindsor18Carleton15Final*ConferenceBox ScoreMcMaster22Queen's27Final*Conference,Ottawa,York,27,4
2024_007,2024,ScheduleAwayHomeNotesStatusLinksOttawa27York4Final*ConferenceVideoBox ScoreRecapWindsor18Carleton15Final*ConferenceBox ScoreMcMaster22Queen's27Final*Conference,Windsor,Carleton,18,15
2024_008,2024,ScheduleAwayHomeNotesStatusLinksOttawa27York4Final*ConferenceVideoBox ScoreRecapWindsor18Carleton15Final*ConferenceBox ScoreMcMaster22Queen's27Final*Conference,McMaster,Queen's,22,27
2024_009,2024,ScheduleAwayHomeNotesStatusLinksWaterloo3Western71Final*ConferenceGuelph47Toronto10Final*ConferenceVideo,Waterloo,Western,3,71
2024_010,2024,ScheduleAwayHomeNotesStatusLinksWaterloo3Western71Final*ConferenceGuelph47Toronto10Final*ConferenceVideo,Guelph,Toronto,47,10
2024_011,2024,ScheduleAwayHomeNotesStatusLinksOttawa26Waterloo5Final*ConferenceVideoRecapGuelph24Laurier33Final*ConferenceBox ScoreYork19Queen's52Final*ConferenceBox ScoreCarleton21Western52Final*ConferenceBox ScoreToronto3McMaster32Final*ConferenceVideo,Ottawa,Waterloo,26,5
2024_012,2024,ScheduleAwayHomeNotesStatusLinksOttawa26Waterloo5Final*ConferenceVideoRecapGuelph24Laurier33Final*ConferenceBox ScoreYork19Queen's52Final*ConferenceBox ScoreCarleton21Western52Final*ConferenceBox ScoreToronto3McMaster32Final*ConferenceVideo,Guelph,Laurier,24,33
2024_013,2024,ScheduleAwayHomeNotesStatusLinksOttawa26Waterloo5Final*ConferenceVideoRecapGuelph24Laurier33Final*ConferenceBox ScoreYork19Queen's52Final*ConferenceBox ScoreCarleton21Western52Final*ConferenceBox ScoreToronto3McMaster32Final*ConferenceVideo,York,Queen's,19,52
2024_014,2024,ScheduleAwayHomeNotesStatusLinksOttawa26Waterloo5Final*ConferenceVideoRecapGuelph24Laurier33Final*ConferenceBox ScoreYork19Queen's52Final*ConferenceBox ScoreCarleton21Western52Final*ConferenceBox ScoreToronto3McMaster32Final*ConferenceVideo,Carleton,Western,21,52
2024_015,2024,ScheduleAwayHomeNotesStatusLinksOttawa26Waterloo5Final*ConferenceVideoRecapGuelph24Laurier33Final*ConferenceBox ScoreYork19Queen's52Final*ConferenceBox ScoreCarleton21Western52Final*ConferenceBox ScoreToronto3McMaster32Final*ConferenceVideo,Toronto,McMaster,3,32
2024_016,2024,ScheduleAwayHomeNotesStatusLinksMcMaster24Guelph29Final*ConferenceWestern28Laurier43Final*ConferenceCarleton42Toronto12Final*ConferenceVideoBox ScoreQueen's48Ottawa20Gee-Gees Field / Terrain des Gee-GeesFinal*ConferenceVideoRecapWindsor29York0Final*ConferenceBox Score,McMaster,Guelph,24,29
2024_017,2024,ScheduleAwayHomeNotesStatusLinksMcMaster24Guelph29Final*ConferenceWestern28Laurier43Final*ConferenceCarleton42Toronto12Final*ConferenceVideoBox ScoreQueen's48Ottawa20Gee-Gees Field / Terrain des Gee-GeesFinal*ConferenceVideoRecapWindsor29York0Final*ConferenceBox Score,Western,Laurier,28,43
2024_018,2024,ScheduleAwayHomeNotesStatusLinksMcMaster24Guelph29Final*ConferenceWestern28Laurier43Final*ConferenceCarleton42Toronto12Final*ConferenceVideoBox ScoreQueen's48Ottawa20Gee-Gees Field / Terrain des Gee-GeesFinal*ConferenceVideoRecapWindsor29York0Final*ConferenceBox Score,Carleton,Toronto,42,12
2024_019,2024,ScheduleAwayHomeNotesStatusLinksMcMaster24Guelph29Final*ConferenceWestern28Laurier43Final*ConferenceCarleton42Toronto12Final*ConferenceVideoBox ScoreQueen's48Ottawa20Gee-Gees Field / Terrain des Gee-GeesFinal*ConferenceVideoRecapWindsor29York0Final*ConferenceBox Score,Queen's,Ottawa,48,20
2024_020,2024,ScheduleAwayHomeNotesStatusLinksMcMaster24Guelph29Final*ConferenceWestern28Laurier43Final*ConferenceCarleton42Toronto12Final*ConferenceVideoBox ScoreQueen's48Ottawa20Gee-Gees Field / Terrain des Gee-GeesFinal*ConferenceVideoRecapWindsor29York0Final*ConferenceBox Score,Windsor,York,29,0
2024_021,2024,ScheduleAwayHomeNotesStatusLinksLaurier39Waterloo23Final*ConferenceVideoBox ScoreYork19Toronto17Final*ConferenceVideoBox ScoreGuelph18Queen's24Final*ConferenceBox ScoreMcMaster36Carleton34Final*ConferenceBox ScoreOttawa18Windsor21Final*ConferenceVideo,Laurier,Waterloo,39,23
2024_022,2024,ScheduleAwayHomeNotesStatusLinksLaurier39Waterloo23Final*ConferenceVideoBox ScoreYork19Toronto17Final*ConferenceVideoBox ScoreGuelph18Queen's24Final*ConferenceBox ScoreMcMaster36Carleton34Final*ConferenceBox ScoreOttawa18Windsor21Final*ConferenceVideo,York,Toronto,19,17
2024_023,2024,ScheduleAwayHomeNotesStatusLinksLaurier39Waterloo23Final*ConferenceVideoBox ScoreYork19Toronto17Final*ConferenceVideoBox ScoreGuelph18Queen's24Final*ConferenceBox ScoreMcMaster36Carleton34Final*ConferenceBox ScoreOttawa18Windsor21Final*ConferenceVideo,Guelph,Queen's,18,24
2024_024,2024,ScheduleAwayHomeNotesStatusLinksLaurier39Waterloo23Final*ConferenceVideoBox ScoreYork19Toronto17Final*ConferenceVideoBox ScoreGuelph18Queen's24Final*ConferenceBox ScoreMcMaster36Carleton34Final*ConferenceBox ScoreOttawa18Windsor21Final*ConferenceVideo,McMaster,Carleton,36,34
2024_025,2024,ScheduleAwayHomeNotesStatusLinksLaurier39Waterloo23Final*ConferenceVideoBox ScoreYork19Toronto17Final*ConferenceVideoBox ScoreGuelph18Queen's24Final*ConferenceBox ScoreMcMaster36Carleton34Final*ConferenceBox ScoreOttawa18Windsor21Final*ConferenceVideo,Ottawa,Windsor,18,21
