game_id,season,week_label,away_team,home_team,away_score,home_score
2023_001,2023,ScheduleAwayHomeNotesStatusLinksQueen's33McGill10Non-conferenceFinal#Do not count in overall recordBox Score,Queen's,McGill,33,10
2023_002,2023,ScheduleAwayHomeNotesStatusLinksToronto10Guelph33Final*ConferenceBox ScoreWestern83York0Final*ConferenceBox ScoreLaurier11Queen's10Final*ConferenceBox ScoreWindsor21McMaster17Final*ConferenceBox Score,Toronto,Guelph,10,33
2023_003,2023,ScheduleAwayHomeNotesStatusLinksToronto10Guelph33Final*ConferenceBox ScoreWestern83York0Final*ConferenceBox ScoreLaurier11Queen's10Final*ConferenceBox ScoreWindsor21McMaster17Final*ConferenceBox Score,Western,York,83,0
2023_004,2023,ScheduleAwayHomeNotesStatusLinksToronto10Guelph33Final*ConferenceBox ScoreWestern83York0Final*ConferenceBox ScoreLaurier11Queen's10Final*ConferenceBox ScoreWindsor21McMaster17Final*ConferenceBox Score,Laurier,Queen's,11,10
2023_005,2023,ScheduleAwayHomeNotesStatusLinksToronto10Guelph33Final*ConferenceBox ScoreWestern83York0Final*ConferenceBox ScoreLaurier11Queen's10Final*ConferenceBox ScoreWindsor21McMaster17Final*ConferenceBox Score,Windsor,McMaster,21,17
2023_006,2023,ScheduleAwayHomeNotesStatusLinksWaterloo10Ottawa29TD Place / Place TDFinal*ConferenceVideoBox ScoreRecap,Waterloo,Ottawa,10,29
2023_007,2023,ScheduleAwayHomeNotesStatusLinksCarleton15Laurier20Final*ConferenceBox ScoreYork32Waterloo53Final*ConferenceBox ScoreOttawa15Toronto10Varsity StadiumFinal*ConferenceVideoBox ScoreRecapGuelph18Windsor41Final*ConferenceBox ScoreMcMaster22Western34Final*ConferenceBox Score,Carleton,Laurier,15,20
2023_008,2023,ScheduleAwayHomeNotesStatusLinksCarleton15Laurier20Final*ConferenceBox ScoreYork32Waterloo53Final*ConferenceBox ScoreOttawa15Toronto10Varsity StadiumFinal*ConferenceVideoBox ScoreRecapGuelph18Windsor41Final*ConferenceBox ScoreMcMaster22Western34Final*ConferenceBox Score,York,Waterloo,32,53
2023_009,2023,ScheduleAwayHomeNotesStatusLinksCarleton15Laurier20Final*ConferenceBox ScoreYork32Waterloo53Final*ConferenceBox ScoreOttawa15Toronto10Varsity StadiumFinal*ConferenceVideoBox ScoreRecapGuelph18Windsor41Final*ConferenceBox ScoreMcMaster22Western34Final*ConferenceBox Score,Ottawa,Toronto,15,10
2023_010,2023,ScheduleAwayHomeNotesStatusLinksCarleton15Laurier20Final*ConferenceBox ScoreYork32Waterloo53Final*ConferenceBox ScoreOttawa15Toronto10Varsity StadiumFinal*ConferenceVideoBox ScoreRecapGuelph18Windsor41Final*ConferenceBox ScoreMcMaster22Western34Final*ConferenceBox Score,Guelph,Windsor,18,41
