season,team,date,opponent,home_away,result,team_score,opp_score,total_yards,passing_yards,rushing_yards,rush_attempts,completions,attempts,turnovers_int,turnovers_fum,turnovers,sacks_taken,penalty_yards,time_of_possession_sec
2024-25,Carleton,Aug 24,Guelph,away,L,38,25,430,274,156,25,21,32,1,1,2,3,33,1266
2024-25,Carleton,Aug 31,Windsor,home,L,18,15,335,215,120,25,19,33,4,0,4,2,100,1721
2024-25,Carleton,Sep 7,Western,away,L,52,21,425,289,136,22,23,36,1,0,1,1,68,1799
2024-25,Carleton,Sep 14,Toronto,away,W,42,12,503,345,158,24,21,30,3,1,4,4,49,1720
2024-25,Carleton,Sep 21,McMaster,home,L,36,34,436,239,197,29,16,27,0,0,0,2,53,1499
2024-25,Carleton,Sep 28,York,home,W,24,10,502,357,145,28,21,32,3,0,3,1,148,1791
2024-25,Carleton,Oct 6,vs. 				Ottawa,home,L,35,32,470,329,141,26,19,28,0,0,0,2,71,1795
2024-25,Carleton,Oct 19,Laurier,home,L,44,24,426,324,102,24,23,35,1,0,1,2,51,1811
2024-25,Guelph,Aug 24,Carleton,home,W,38,25,506,215,291,41,11,22,2,0,2,0,55,2052
2024-25,Guelph,Sep 1,Toronto,away,W,47,10,524,287,237,23,22,33,1,0,1,3,182,1626
2024-25,Guelph,Sep 7,Laurier,away,L,33,24,416,220,196,32,21,32,1,0,1,0,93,2042
2024-25,Guelph,Sep 14,McMaster,home,W,29,24,409,178,231,26,17,23,1,0,1,7,26,2137
2024-25,Guelph,Sep 21,Queen's,away,L,24,18,436,259,177,22,19,32,2,0,2,1,40,1756
2024-25,Guelph,Sep 28,Waterloo,home,W,42,25,444,266,178,27,18,27,2,1,3,2,115,1459
2024-25,Guelph,Oct 5,Windsor,home,W,45,40,521,283,238,38,22,29,1,0,1,3,81,1344
2024-25,Guelph,Oct 11,York,away,W,33,19,671,501,170,24,22,31,1,1,2,6,415,2166
2024-25,Laurier,Aug 24,McMaster,away,W,31,14,407,202,205,33,14,21,1,0,1,3,61,1542
